Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
BDCQ.SF1IICS,2017.03,7518.735,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Seasonally adjusted,
BDCQ.SF1IICS,2017.06,7565.275,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Seasonally adjusted,
BDCQ.SF1IICS,2017.09,7564.112,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Seasonally adjusted,
BDCQ.SF1IICS,2017.12,7754.089,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Seasonally adjusted,
BDCQ.SF1IICS,2018.03,7956.967,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Seasonally adjusted,
BDCQ.SF1IICS,2018.06,7888.809,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Seasonally adjusted,
BDCQ.SF1IICS,2018.09,8054.424,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Seasonally adjusted,
BDCQ.SF1IICS,2018.12,8061.741,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Seasonally adjusted,
BDCQ.SF1IICS,2019.03,8277.68,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Seasonally adjusted,
BDCQ.SF1IICS,2019.06,8421.806,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Seasonally adjusted,
BDCQ.SF1IICS,2019.09,8321.149,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Seasonally adjusted,
BDCQ.SF1IICS,2019.12,8298.249,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Seasonally adjusted,
BDCQ.SF1IICS,2020.03,7970.249,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Seasonally adjusted,
BDCQ.SF1IICS,2020.06,5684.368,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Seasonally adjusted,
BDCQ.SF1IICS,2020.09,6648.444,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Seasonally adjusted,
BDCQ.SF1IICS,2020.12,6752.929,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Seasonally adjusted,
BDCQ.SF1IICS,2021.03,7016.717,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Seasonally adjusted,
BDCQ.SF1IICS,2021.06,7857.911,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Seasonally adjusted,
BDCQ.SF1IICS,2021.09,7786.369,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Seasonally adjusted,
BDCQ.SF1IICT,2016.06,7235.268,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Trend,
BDCQ.SF1IICT,2016.09,7372.21,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Trend,
BDCQ.SF1IICT,2016.12,7458.709,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Trend,
BDCQ.SF1IICT,2017.03,7508.365,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Trend,
